cddaId,cddaCountryCode,cddaRegionCode,siteName,legalFoundationDate,FDsource
555640448,FR,FR,Lac-Tourbiere De Bourdouze,,https://cen-auvergne.fr/sites-et-milieux-naturels/lac-tourbiere-de-bourdouze
555640491,FR,FR,Marais Du Cassan Et De Prentegarde,2006,https://cen-auvergne.fr/sites-et-milieux-naturels/marais-du-cassan-et-de-prentegarde
555640458,FR,FR,Val D'Allier- Boudemange,,https://cen-auvergne.fr/sites-et-milieux-naturels/val-d-allier-boudemange
555640453,FR,FR,Val D'Allier- Domaine De Parentignat,,https://cen-auvergne.fr/sites-et-milieux-naturels/val-d-allier-domaine-de-parentignat
555546675,FR,FR,Val D'Allier- Le Pacage Des Vaches,,https://cen-auvergne.fr/sites-et-milieux-naturels/val-d-allier-le-pacage-des-vaches
555640053,FR,FR,Val D'Allier- Les Guilleminauds,,https://cen-auvergne.fr/sites-et-milieux-naturels/val-d-allier-les-guilleminauds
555640044,FR,FR,Vallee Des Reblats Et Environs,,https://cen-auvergne.fr/sites-et-milieux-naturels/vallee-des-reblats-et-environs
555559695,FR,FR,Pelouse De Champ Cognier A Les Riceys,,https://cen-champagne-ardenne.org/sites-naturels/pelouse-champ-cognier
555547045,FR,FR,La Grande Piece Et Les Echelles,,https://cen-hautsdefrance.org/la-grande-piece-et-les-echelles
555640353,FR,FR,La Pelouse Manable,,https://cen-hautsdefrance.org/la-pelouse-manable
555547001,FR,FR,Le Grand Marais Et Le Fleuriche,,https://cen-hautsdefrance.org/le-grand-marais-et-le-fleuriche
555640295,FR,FR,Le Larris D'Hangest-Sur-Somme,,https://cen-hautsdefrance.org/le-larris-d-hangest-sur-somme
555640243,FR,FR,Le Marais Communal De Morcourt,,https://cen-hautsdefrance.org/le-marais-communal-de-morcourt-0
555640252,FR,FR,Le Marais De Belloy-Sur-Somme,2003,https://cen-hautsdefrance.org/le-marais-de-belloy-sur-somme-0
555547048,FR,FR,Le Marais De Hailles,,https://cen-hautsdefrance.org/le-marais-de-hailles-0
555640242,FR,FR,Le Marais De Picquigny,2003,https://cen-hautsdefrance.org/le-marais-de-picquigny part of a peatland network
555640247,FR,FR,Le Marais De Tirancourt,,https://cen-hautsdefrance.org/le-marais-de-tirancourt
555640352,FR,FR,Le Marais Et Les Petits Monts,,https://cen-hautsdefrance.org/le-marais-et-les-petits-monts
